Group;Age group;Nb. Male;% Male;Prob. Male;Nb. Female;% Female;Prob. Female
1;0-4;42 835;10,027;0,1;39 883;9,725;0,097
2;5-9;40 441;9,467;0,095;37 578;9,163;0,092
3;10-14;42 369;9,918;0,099;40 015;9,757;0,098
4;15-19;40 818;9,555;0,096;38 700;9,437;0,094
5;20-24;41 325;9,674;0,097;39 027;9,517;0,095
6;25-29;37 390;8,753;0,088;36 097;8,802;0,088
7;30-34;32 825;7,684;0,077;30 710;7,489;0,075
8;35-39;28 778;6,737;0,067;27 774;6,773;0,068
9;40-44;28 598;6,695;0,067;27 676;6,749;0,067
10;45-49;25 835;6,048;0,06;24 487;5,971;0,06
11;50-54;20 215;4,732;0,047;19 794;4,827;0,048
12;55-59;15 735;3,683;0,037;15 426;3,762;0,038
13;60-64;11 956;2,799;0,028;12 164;2,966;0,03
14;65-69;8 098;1,896;0,019;8 710;2,124;0,021
15;>70;9 958;2,331;0,023;12 054;2,939;0,029
;;427 176;100;1;410 095;100;1
